hindi	english
खाली तस्वीर खाँचा पर	on to the empty tableau slot
बचा मालः ~ a	Stock left: ~ a
एक और पत्ता बाँटें	Deal another card
एक पत्ता या पत्तों के समूह खाली खाँचा पर ले जाएँ	Move a card or build of cards on to the empty slot
एक हाथ और बांटें	Deal another hand
स्वयं से	itself
बेकार में से पत्ते ले जाएँ	Move card from waste
बेकार को भण्डार में ले जाएँ	Move waste to stock
एक खाली तस्वीर खाँचा	an empty tableau slot
बचा भंडारः ~ a	Stock remaining: ~ a
नया कार्ड डील करें	Deal a new card
आधार से पत्तों को नीचे की ले जाने की कोशिश करें	Try moving cards down from the foundation
एक पत्ते बांट	Single card deals
कोई डील फिर नहीं	No redeals
आधार पत्ताः	Base Card:
एक खाली संस्थापन के ढेर	an empty foundation pile
वर्तमान विन्यास अति प्राकृतिक रूप से ताश के रंग के योग्य हो इस हेतु ध्येय कीजिए. 	Aim to place the suits in the order which fits the current layout most naturally.
स्वचालित	Autoplay
ताश बांटना बाकीः ~ a	Redeals left: ~ a
डेक में से नया पत्ता चलें	Deal new cards from the deck
कुछ	something
पोकर हाथ तैयार करने हेतु ताश के पत्तों को जमाएँ	Place cards on to the Tableau to form poker hands
फेंटें मोड	Shuffle mode
पत्ते बाँटें	Deal the cards
पत्तों को फिर फेंटें	Reshuffle cards
सुरक्षित खाँचा पर बेकार को ले जाएँ	Move waste on to a reserve slot
सभी ढेर भरने लायक पत्ते होते तक पहले जैसा करें	Undo until there are enough cards to fill all tableau piles
कृपया खाली ढेर को पहले भरें. 	Please fill in empty pile first.
खाली खाँचा पर कुछ रखें	Place something on empty slot
चार सूइट	Four Suits
दो सूट	Two Suits
एक सूट	One Suit
खाली अस्थायी खाँचा पर पत्ता ले जाएँ	Move a card to an empty temporary slot
कोई संकेत उपलब्ध नहीं है	No hint available
अस्थायी स्पॉट उपयोग स्वीकारें	Allow temporary spots use
जनरल का पेशेंस	General 's Patience
टूटते तारे	Falling Stars
सिन्योर	Signora
रेडहेड	Redheads
ब्लॉड और बर्नेट	Blondes and Brunettes
वुड	Wood
डेक में से पत्ता निकालें	Deal a card from the deck
बेकार के ऊपर के दो कार्ड का प्रयोग करें	Match the top two cards of the waste.
एक खाली पठारी ढेर	an empty tableau pile
प्रगतिशील राउंड	Progressive Rounds
बहुल स्कोरिंग	Multiplier Scoring
खाली तस्वीर खाँचा पर पत्तों को ले जाएँ	Move a build of cards on to the empty Tableau slot
उचित संस्थापन ढेर	the appropriate Foundation pile
एनीमेशन	_ Animations
कार्ड चालों में एनीमेशन उपयोग करें या नहीं. 	Whether or not to animate card moves
एस्लेरियॉट सॉलिटेयर	AisleRiot Solitaire
भिन्न प्रकार के सॉलिटेयर खेल खेलें	Play many different solitaire games
प्रसंग फाइल नाम	Theme file name
पत्तों हेतु ग्राफ़िक्स सहित फ़ाइल का नाम. 	The name of the file with the graphics for the cards.
उपकरण-पट्टी दिखाएँ या नहीं	Whether or not to show the toolbar
स्थिति-पट्टी दिखाएँ या नहीं	Whether or not to show the status bar
नियंत्रण की शैली का चयन करें	Select the style of control
चुनें कि कार्ड खींचना है या गंतव्य के बजाय श्रोत पर क्लिक करना है. 	Select whether to drag the cards or to click on the source then the destination.
ध्वनि	Sound
घटनाओं हेतु ध्वनि बजाएँ या नहीं. 	Whether or not to play event sounds.
एनीमेशन	Animations
कार्ड चालों में एनीमेशन उपयोग करें या नहीं. 	Whether or not to animate card moves.
खेल फ़ाइल उपयोग में	The game file to use
प्रसंग फ़ाइल का नाम जिसमें खेला जाने वाला सॉलिटेयर खेल है. 	The name of the scheme file containing the solitaire game to play.
खेल पुनः प्रारंभ करें	Statistics of games played
स्ट्रिंग की सूची जो पांच गुने रूप में आता हैः name, wins, total games played, best time (सेकेंड में) और worst time (सेकेंड में ही). नहीं खेला गया खेल दिखाया नहीं जा सकता. 	A list of strings that come in the form of a quintuple: name, wins, total games played, best time (in seconds) and worst time (also in seconds). Unplayed games do not need to be represented.
हाल में खेले खेल के नाम	Recently played games
हाल में खेले गए खेल के नाम. 	A list of recently played games.
खेल चुनें	Select Game
चुनें (_ S) 	_ Select
विषय सूची (_ C) 	_ Contents
फुलस्क्रीन (_ F) 	_ Fullscreen
संकेत (_ H) _ New "is for the menu item 'Game-> New', implies" New Game	_ Hint
नया (_ N) _ New Game	_ New
नया खेल (_ N) 	_ New Game
चाल फिर चलें (_ R) Reset	_ Redo Move
रीसेट करें (_ R) _ Restart "is the menu item 'Game-> Restart', implies" Restart Game	_ Reset
पुनःआरंभ करें (_ R) 	_ Restart
चाल वापस लें (_ U) 	_ Undo Move
डील (_ D) 	_ Deal
पूर्ण स्क्रीन छोड़ें (_ L) 	_ Leave Fullscreen
ठहरें (_ P) 	_ Pause
% s मुफ़्त सॉफ़्टवेयर है; इसे आप मुफ़्त सॉफ़्टवेयर फाउण्डेशन द्वारा प्रकाशित ग्नू जनरल पब्लिक लाइसेंस के तहत वितरित कर सकते हैं या परिवर्धित कर सकते हैं; लाइसेंस के% d संस्करण या इसके (अपने विकल्प अनुसार) बाद के संस्करण के तहत. 	% s is free software; you can redistribute it and / or modify it under the terms of the GNU General Public License as published by the Free Software Foundation; either version% d of the License, or (at your option) any later version.
% s is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the GNU General Public License for more details. 	% s is distributed in the hope that it will be useful, but WITHOUT ANY WARRANTY; without even the implied warranty of MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the GNU General Public License for more details.
इस प्रोग्राम के साथ आपको ग्नू-जनरल पब्लिक लाइसेंस की प्रतिलिपि मिलनी चाहिए. यदि नहीं तो देखें. slot type	You should have received a copy of the GNU General Public License along with this program. If not, see.
न्यासslot type	foundation
आरक्षितslot type	reserve
स्टाकslot type	stock
तालिकाslot type	tableau
बरबादीfoundationslot hint	waste
आधार पर खाली खाँचाreserveslot hint	% s on foundation
एक खाली खाँचाstockslot hint	% s on reserve
बेकार को भण्डार में ले जाएँtableauslot hint	% s on stock
एक खाली तस्वीरwasteslot hint	% s on tableau
इस खेल में अब तक कोई संकेत समर्थन उपलब्ध नहीं है. 	This game does not have hint support yet.
% s खिसकाएँ% s पर. 	Move% s onto% s.
यह खेल कोई संकेत उपलब्ध कराने में असमर्थ है. 	This game is unable to provide a hint.
एकार्डियन	Accordion
एग्नेस	Agnes
एथेना	Athena
अल्ड लेंग स्याने	Auld Lang Syne
आंट मेरी	Aunt Mary
रीढ़	Backbone
बेकर्स दर्जन	Bakers Dozen
बेकर्स खेल	Bakers Game
बीयर रिवर	Bear River
सताने वाला किला	Beleaguered Castle
ब्लाक दस	Block Ten
ब्रिस्टल	Bristol
केमेलॉट	Camelot
केनफील्ड	Canfield
दरी	Carpet
शतरंज	Chessboard
घड़ी	Clock
आवरण	Cover
कठोर	Cruel
हीरा खदान	Diamond Mine
जोड़ा	Doublets
बाज पंख	Eagle Wing
ईस्टहैवन	Easthaven
आठ बन्द	Eight Off
एलीवेटर	Elevator
एलीवेटर	Eliminator
एस्केलेटर	Escalator
पहला नियम	First Law
किला	Fortress
सौभाग्य	Fortunes
चालीस चोर	Forty Thieves
चौदह	Fourteen
फ्रीसेल	Freecell
गैप	Gaps
गे गोरडोन्स	Gay Gordons
जायंट	Giant
ग्लेनवुड	Glenwood
सोना खदान	Gold Mine
गोल्फ	Golf
जिप्सी	Gypsy
हेलसिंकी	Helsinki
हॉपस्कॉच	Hopscotch
इसाबेल	Isabel
जेम्सटाउन	Jamestown
भारी भरकम	Jumbo
कैनसास	Kansas
राजा अलबर्ट	King Albert
किंग ऑडियंस	Kings Audience
क्लॉन्डिके	Klondike
क्लॉन्डिके तीन डेक	Klondike Three Decks
भूलभुलैया	Labyrinth
श्रीमती ज़ेन	Lady Jane
भूल भुलैया	Maze
मोन्ते कार्लो	Monte Carlo
नेपोलियन मकबरा	Napoleons Tomb
पड़ोसी	Neighbor
ओडेसा	Odessa
ऑस्मोसिस	Osmosis
झांकें	Peek
पाइलेअन	Pileon
लपेट	Plait
पोकर	Poker
क्वातोर्जे	Quatorze
रॉयल ईस्ट	Royal East
साराटोगा	Saratoga
वृश्चिक	Scorpion
हाथापाई	Scuffle
सीहैवन	Seahaven
श्रीमान् टॉमी	Sir Tommy
हल करें (_ v) 	Sol
मकड़ी	Spider
स्पाइडर तीन डेक	Spider Three Decks
मादा मकड़ी	Spiderette
सीधा ऊपर	Straight Up
गलियां और चौबारा	Streets And Alleys
टेम्पलेट	Template
दस आरपार	Ten Across
टेरेस	Terrace
चोर	Thieves
तेरह	Thirteen
अंगूठा और पॉकेट	Thumb And Pouch
ट्रेज	Treize
तिहरी चोटी	Triple Peaks
संघीय चौराहा	Union Square
वेलेंटाइन	Valentine
वेस्ट हैवन	Westhaven
सफेदसिर (व्हाइटहेड) 	Whitehead
विल औ द विस्प	Will O The Wisp
उपज	Yield
युकान	Yukon
जेब्राcard symbol	Zebra
जोकरcard symbol	JOKER
Acard symbol	A
2number	2
3number	3
4number	4
5number	5
6number	6
7number	7
8number	8
9	9
Jcard symbol	J
Qcard symbol	Q
Kcard symbol	K
1number	1
चिड़ी का इक्का	ace of clubs
चिड़ी की दुक्की	two of clubs
चिड़ी की तिक्की	three of clubs
चिड़ी का चौवा	four of clubs
चिड़ी का पंजा	five of clubs
चिड़ी का छक्का	six of clubs
चिड़ी का सत्ता	seven of clubs
चिड़ी का अट्ठा	eight of clubs
चिड़ी का नहला	nine of clubs
चिड़ी का दहला	ten of clubs
चिड़ी का गुलाम	jack of clubs
चिड़ी की बेगम	queen of clubs
चिड़ी का बादशाह	king of clubs
ईंट का इक्का	ace of diamonds
ईंट का दुक्का	two of diamonds
ईंट की तिक्की	three of diamonds
ईंट का चव्वा	four of diamonds
ईंट का पंजा	five of diamonds
ईंट का छक्का	six of diamonds
ईंट का सत्ता	seven of diamonds
ईंट का अट्ठा	eight of diamonds
ईंट का नहला	nine of diamonds
ईंट का दहला	ten of diamonds
ईंट का गुलाम	jack of diamonds
ईंट की बेगम	queen of diamonds
ईंट का बादशाह	king of diamonds
लाल पान का इक्का	ace of hearts
लाल पान का दुक्का	two of hearts
लाल पान की तिक्की	three of hearts
लाल पान का चव्वा	four of hearts
लाल पान का पंजा	five of hearts
लाल पान का छक्का	six of hearts
लाल पान का सत्ता	seven of hearts
लाल पान का अट्ठा	eight of hearts
लाल पान का नहला	nine of hearts
लाल पान का दहला	ten of hearts
लाल पान का गुलाम	jack of hearts
लाल पान की बेगम	queen of hearts
लाल पान का बादशाह	king of hearts
हुकुम का इक्का	ace of spades
हुकुम का दुक्का	two of spades
हुकुम की तिक्की	three of spades
हुकुम का चव्वा	four of spades
हुकुम का पंजा	five of spades
हुकुम का छक्का	six of spades
हुकुम का सत्ता	seven of spades
हुकुम का अट्ठा	eight of spades
हुकुम का नहला	nine of spades
हुकुम का दहला	ten of spades
हुकुम का गुलाम	jack of spades
हुकुम की बेगम	queen of spades
हुकुम का बादशाह	king of spades
अज्ञात पत्ता	face - down card
काला जोकर	black joker
लाल जोकर	red joker
मदद फ़ाइल “% s.% s” नहीं मिली	Help file “% s.% s” not found
“% s” के लिए मदद नहीं दिखा सका	Could not show help for “% s”
सॉलिटेयर	Solitaire
गनोम सॉलिटेयर	GNOME Solitaire
सॉलिटेयर के बारे में	About Solitaire
खेलने के लिये खेल चुनें	Select the game type to play
नाम	NAME
फ्रीसेल सॉलिटेयर	FreeCell Solitaire
एस्लेरियॉट	AisleRiot
जीताः	Wins:
कुलः	Total:
प्रतिशतः	Percentage:
जीता	Wins
उत्तमः	Best:
सब से बुराः	Worst:
समय	Time
सांख्यिकी% Id% d	Statistics
% d% d "in this string this to"% Id% d% d%%%%% "(U + 0025 PERCENT SIGN) you do NOT need to escape it with another"% 	% d
% d%% Not ApplicableNot Applicable	% d%%
लागू नहीं	N / A
% d:% 02d	% d:% 02d
बधाई, आप जीत गए! 	Congratulations, you have won!
कोई चाल बाकी नहीं	There are no more moves
मुख्य खेलः	Main game:
ताश के खेलः	Card games:
ताश थीमः	Card themes:
फ्रीसेल सॉलिटेयर के बारे में	About FreeCell Solitaire
एस्लेरियॉट के बारे में	About AisleRiot
एसलिरियोट एक नियम आधारित सॉलिटेयर कार्ड इंजन देता है जो कई भिन्न खेल खेलने के लिए अनुमति देता है. एसलियेरॉट ग्नोम खेल का हिस्सा है. 	AisleRiot provides a rule - based solitaire card engine that allows many different games to be played.
रविशंकर श्रीवास्तव (raviratlami @yahoo. com) राजेश रंजन (rajeshkajha @yahoo. com) 	translator - credits
ग्नोम खेल वेबसाइट	GNOME Games web site
खेलें “% s”	Play “% s”
कार्ड थीम “% s” के साथ कार्ड दिखाएं	Display cards with “% s” card theme
योजना अपवाद उत्पन्न हुआ	A scheme exception occurred
डेवलेपर को इस बग को रिपोर्ट करें. 	Please report this bug to the developers.
मत रिपोर्ट करें (_ D) 	_ Don 't report
रिपोर्ट करें (_ R) 	_ Report
फ्रीसेल सॉलिटेयर	Freecell Solitaire
खेल (_ G) 	_ Game
देखें (_ V) 	_ View
नियंत्रण (_ C) 	_ Control
मदद (_ H) 	_ Help
एक नया खेल प्रारंभ करें	Start a new game
वर्तमान खेल पुनःप्रारंभ करें	Restart the game
खेल चुनें	_ Select Game…
भिन्न प्रकार खेल खेलें	Play a different game
हाल में खेला गया (_ R) 	_ Recently Played
सांख्यिकी (_ t) 	S _ tatistics
खेल सांख्यिकी दिखायें	Show gameplay statistics
इस विंडो को बन्द करें	Close this window
पिछली चाल पूर्ववत करें	Undo the last move
पिछली चाल पूर्ववत करें	Redo the undone move
अगला कार्ड या कार्ड्स की डील करें	Deal next card or cards
अगली चाल हेतु संकेत प्राप्त करें	Get a hint for your next move
एस्लेरियाट के लिये सहायता देखें	View help for Aisleriot
इस खेल के लिये सहायता दिखायें	View help for this game
इस खेल के बारे में	About this game
ताश प्रसंग इंस्टाल करें... 	Install card themes…
वितरण पैकेज रिपोसिटरीज़ से नए कार्ड गेम प्रसंग संस्थापित करें	Install new card themes from the distribution packages repositories
ताश शैली (_ C) 	_ Card Style
उपकरण-पट्टी (_ T) 	_ Toolbar
उपकरण-पट्टी छुपाएँ या दिखाएँ	Show or hide the toolbar
स्थिति पट्टी (_ S) 	_ Statusbar
उपकरण-पट्टी छुपाएँ या दिखाएँ	Show or hide statusbar
बढ़ने के लिये क्लिक करें (_ C) 	_ Click to Move
क्लिक करके ताश ले या छोड़ें	Pick up and drop cards by clicking
ध्वनि (_ S) 	_ Sound
घटनाओं हेतु ध्वनि बजाएँ या नहीं. 	Whether or not to play event sounds
एनीमेशन	_ Animations
कार्ड चालों में एनीमेशन उपयोग करें या नहीं. 	Whether or not to animate card moves
अंकः	Score:
समयः	Time:
“% s” खेल आरंभ नहीं कर सका	Cannot start the game “% s”
Aisleriot पता नहीं कर सका कि आपने कौन सा खेल अंतिम बार प्राप्त किया. 	Aisleriot cannot find the last game you played.
यह प्रायः होता है जब आप एसलिरियोट के पुराने संस्करण को चलाते हैं जिसने खेल नहीं खेला है जो आप अंतिम में खेले हैं. मूलभूत खेल, Klondike, बदले में आरंभ हो रहा है. 	This usually occurs when you run an older version of Aisleriot which does not have the game you last played. The default game, Klondike, is being started instead.
आधार पत्ताः ~ a	Base Card: ~ a
आधार पत्ताः इक्का	Base Card: Ace
आधार पत्ताः जोकर	Base Card: Jack
आधार पत्ताः रानी	Base Card: Queen
आधार पत्ताः बादशाह	Base Card: King
बचा मालः	Stock left:
बचा मालः 0	Stock left: 0
और ताश बांटें	Deal more cards
ताश को फिर से जमाने की कोशिश करें	Try rearranging the cards
अज्ञात रंग	Unknown color
काला जोकर	the black joker
लाल जोकर	the red joker
चिड़ी का इक्का	the ace of clubs
चिड़ी की दुक्की	the two of clubs
चिड़ी की तिक्की	the three of clubs
चिड़ी का चौवा	the four of clubs
चिड़ी का पंजा	the five of clubs
चिड़ी का छक्का	the six of clubs
चिड़ी का सत्ता	the seven of clubs
चिड़ी का अट्ठा	the eight of clubs
चिड़ी का नहला	the nine of clubs
चिड़ी का दहला	the ten of clubs
चिड़ी का गुलाम	the jack of clubs
चिड़ी की बेगम	the queen of clubs
चिड़ी का बादशाह	the king of clubs
अज्ञात पत्ता	the unknown card
हुकुम का इक्का	the ace of spades
हुकुम का दुक्का	the two of spades
हुकुम की तिक्की	the three of spades
हुकुम का चव्वा	the four of spades
हुकुम का पंजा	the five of spades
हुकुम का छक्का	the six of spades
हुकुम का सत्ता	the seven of spades
हुकुम का अट्ठा	the eight of spades
हुकुम का नहला	the nine of spades
हुकुम का दहला	the ten of spades
हुकुम का गुलाम	the jack of spades
हुकुम की बेगम	the queen of spades
हुकुम का बादशाह	the king of spades
लाल पान का इक्का	the ace of hearts
लाल पान का दुक्का	the two of hearts
लाल पान की तिक्की	the three of hearts
लाल पान का चव्वा	the four of hearts
लाल पान का पंजा	the five of hearts
लाल पान का छक्का	the six of hearts
लाल पान का सत्ता	the seven of hearts
लाल पान का अट्ठा	the eight of hearts
लाल पान का नहला	the nine of hearts
लाल पान का दहला	the ten of hearts
लाल पान का गुलाम	the jack of hearts
लाल पान की बेगम	the queen of hearts
लाल पान का बादशाह	the king of hearts
ईंट का इक्का	the ace of diamonds
ईंट का दुक्का	the two of diamonds
ईंट की तिक्की	the three of diamonds
ईंट का चव्वा	the four of diamonds
ईंट का पंजा	the five of diamonds
ईंट का छक्का	the six of diamonds
ईंट का सत्ता	the seven of diamonds
ईंट का अट्ठा	the eight of diamonds
ईंट का नहला	the nine of diamonds
ईंट का दहला	the ten of diamonds
ईंट का गुलाम	the jack of diamonds
ईंट की बेगम	the queen of diamonds
ईंट का बादशाह	the king of diamonds
आधार पर एक पत्ता ले जाएँ	Move ~ a onto the foundation.
~ a को एक खाली आधार में ले जाएँ	Move ~ a onto an empty foundation slot.
खाली तस्वीर खाँचा पर बादशाह को ले जाएँ	Move ~ a onto the tableau.
खाली तस्वीर खाँचा पर बादशाह को ले जाएँ	Move ~ a onto an empty tableau slot.
सुरक्षित खाँचा पर बेकार को ले जाएँ	Move ~ a onto the reserve.
सुरक्षित खाँचा पर बेकार को ले जाएँ	Move ~ a onto an empty reserve slot.
~ a को एक खाली फील्ड में ले जाएँ	Move ~ a onto an empty edge slot.
खाली अस्थायी खाँचा पर पत्ता ले जाएँ	Move ~ a onto an empty corner slot.
खाली अस्थायी खाँचा पर पत्ता ले जाएँ	Move ~ a onto an empty top slot.
नीचे का एक खाली खाँचा	Move ~ a onto an empty bottom slot.
~ a को एक खाली फील्ड में ले जाएँ	Move ~ a onto an empty left slot.
~ a को एक खाली फील्ड में ले जाएँ	Move ~ a onto an empty right slot.
~ a को एक खाली फील्ड में ले जाएँ	Move ~ a onto an empty slot.
~ a को पट्ट से बाहर ले जाएँ	Move ~ a onto the black joker.
~ a को पट्ट से बाहर ले जाएँ	Move ~ a onto the red joker.
चिड़ी का इक्का	Move ~ a onto the ace of clubs.
चिड़ी की दुक्की	Move ~ a onto the two of clubs.
चिड़ी की तिक्की	Move ~ a onto the three of clubs.
चिड़ी का चौवा	Move ~ a onto the four of clubs.
चिड़ी का पंजा	Move ~ a onto the five of clubs.
चिड़ी का छक्का	Move ~ a onto the six of clubs.
चिड़ी का सत्ता	Move ~ a onto the seven of clubs.
चिड़ी का अट्ठा	Move ~ a onto the eight of clubs.
चिड़ी का नहला	Move ~ a onto the nine of clubs.
चिड़ी का दहला	Move ~ a onto the ten of clubs.
चिड़ी का गुलाम	Move ~ a onto the jack of clubs.
चिड़ी की बेगम	Move ~ a onto the queen of clubs.
चिड़ी का बादशाह	Move ~ a onto the king of clubs.
~ a को पट्ट से बाहर ले जाएँ	Move ~ a onto the unknown card.
हुकुम का इक्का	Move ~ a onto the ace of spades.
हुकुम का दुक्का	Move ~ a onto the two of spades.
हुकुम की तिक्की	Move ~ a onto the three of spades.
हुकुम का चव्वा	Move ~ a onto the four of spades.
हुकुम का पंजा	Move ~ a onto the five of spades.
हुकुम का छक्का	Move ~ a onto the six of spades.
हुकुम का सत्ता	Move ~ a onto the seven of spades.
हुकुम का अट्ठा	Move ~ a onto the eight of spades.
हुकुम का नहला	Move ~ a onto the nine of spades.
हुकुम का दहला	Move ~ a onto the ten of spades.
हुकुम का गुलाम	Move ~ a onto the jack of spades.
हुकुम की बेगम	Move ~ a onto the queen of spades.
हुकुम का बादशाह	Move ~ a onto the king of spades.
लाल पान का इक्का	Move ~ a onto the ace of hearts.
लाल पान का दुक्का	Move ~ a onto the two of hearts.
लाल पान की तिक्की	Move ~ a onto the three of hearts.
लाल पान का चव्वा	Move ~ a onto the four of hearts.
लाल पान का पंजा	Move ~ a onto the five of hearts.
लाल पान का छक्का	Move ~ a onto the six of hearts.
लाल पान का सत्ता	Move ~ a onto the seven of hearts.
लाल पान का अट्ठा	Move ~ a onto the eight of hearts.
लाल पान का नहला	Move ~ a onto the nine of hearts.
लाल पान का दहला	Move ~ a onto the ten of hearts.
लाल पान का गुलाम	Move ~ a onto the jack of hearts.
लाल पान की बेगम	Move ~ a onto the queen of hearts.
लाल पान का बादशाह	Move ~ a onto the king of hearts.
ईंट का इक्का	Move ~ a onto the ace of diamonds.
ईंट का दुक्का	Move ~ a onto the two of diamonds.
ईंट की तिक्की	Move ~ a onto the three of diamonds.
ईंट का चव्वा	Move ~ a onto the four of diamonds.
ईंट का पंजा	Move ~ a onto the five of diamonds.
ईंट का छक्का	Move ~ a onto the six of diamonds.
ईंट का सत्ता	Move ~ a onto the seven of diamonds.
ईंट का अट्ठा	Move ~ a onto the eight of diamonds.
ईंट का नहला	Move ~ a onto the nine of diamonds.
ईंट का दहला	Move ~ a onto the ten of diamonds.
ईंट का गुलाम	Move ~ a onto the jack of diamonds.
ईंट की बेगम	Move ~ a onto the queen of diamonds.
ईंट का बादशाह	Move ~ a onto the king of diamonds.
तीन पत्ते बांटें	Three card deals
एक दौर और चलें	Deal another round
ताश बांटना बाकीः	Redeals left:
तस्वीर में एक खाली खाँचा	an empty slot on the tableau
आधार पर खाली स्लॉट	an empty slot on the foundation
डेक में से नया पत्ता चलें	Deal a new card from the deck
आधार पत्ताः	Base Card:
दाएं बाजू के खाली स्थान पर कुछ ले जाएँ	Move something onto an empty right - hand tableau slot
चिड़ी का दहला	Remove the ten of clubs.
ईंट का दहला	Remove the ten of diamonds.
लाल पान का दहला	Remove the ten of hearts.
हुकुम का दहला	Remove the ten of spades.
अतिरिक्त बाकीः	Reserve left:
बेकार को भण्डार में वापस ले जाएँ	Move waste back to stock
आधार पर एक पत्ता ले जाएँ	Move a card to the Foundation
किसी वस्तु को तस्वीर के खाली खाँचे में ले जाएँ	Move something into the empty Tableau slot
सिर्फ इसलिए कि हापस्काच बोर्ड पारपथ जैसे दिखता है, इसका मतलब यह नहीं कि वह यही है	Just because a crosswalk looks like a hopscotch board doesn 't mean it is one
जब आप सड़क पार करें, तो दोनों तरफ देखें	Look both ways before you cross the street
क्या आपने मदद फ़ाइल पढ़ ली है? 	Have you read the help file?
ओडेसा एक बढ़िया खेल है. सच में. 	Odessa is a better game. Really.
जब तक अत्यधिक आपात् स्थिति न हो, रक्त-बन्ध की सिफारिश नहीं की जाती	Tourniquets are not recommended unless in the direst emergency
लगता है मुझे तुरंत अपनी पीठ खुजानी पड़ेगी... 	I could sure use a backrub right about now...
सूर्य किरणें आपको विटामिन डी देती हैं, कम्प्यूटरों के मॉनीटर्स नहीं... 	Monitors won 't give you Vitamin D - - but sunlight will...
यदि आप कभी जंगल में अकेले गुम हो जाएँ, तो किसी पेड़ के आगोश में जाएँ	If you 're ever lost and alone in the woods, hug a tree
मछली पकड़ने के तांत से अपने दांत साफ मत करिए	Fishing wire makes bad dental floss
संगतता ही कुंजी है	Consistency is key
जब व्यवसायी न हो तो हाट और शासक भी वह काम करते हैं	When without a stapler, a staple and a ruler will work
कुत्ते के कान में कभी सीटी नहीं बजाएँ	Never blow in a dog 's ear
शेष ताशः ~ a	Cards remaining: ~ a
फिर बांटें	Redeal.
एक% s को आप ढूंढ रहे हैं. 	You are searching for an ace.
एक% s को आप ढूंढ रहे हैं. 	You are searching for a two.
एक% s को आप ढूंढ रहे हैं. 	You are searching for a three.
एक% s को आप ढूंढ रहे हैं. 	You are searching for a four.
एक% s को आप ढूंढ रहे हैं. 	You are searching for a five.
एक% s को आप ढूंढ रहे हैं. 	You are searching for a six.
एक% s को आप ढूंढ रहे हैं. 	You are searching for a seven.
एक% s को आप ढूंढ रहे हैं. 	You are searching for an eight.
एक% s को आप ढूंढ रहे हैं. 	You are searching for a nine.
एक% s को आप ढूंढ रहे हैं. 	You are searching for a ten.
एक% s को आप ढूंढ रहे हैं. 	You are searching for a jack.
एक% s को आप ढूंढ रहे हैं. 	You are searching for a queen.
एक% s को आप ढूंढ रहे हैं. 	You are searching for a king.
अज्ञात मान	Unknown value
एक पत्ता बांटें	Deal a card
खाली तस्वीर खाँचा पर बादशाह को ले जाएँ	Move a king onto an empty tableau slot.
कोई संकेत अभी उपलब्ध नहीं है	No hint available right now
खाली बची अतिरिक्त जगह पर कुछ ले जाएँslot type	Move something on to an empty reserve
न्यास	Six Foundations
न्यासslot type	Five Foundations
न्यास	Four Foundations
आधार पर एक पत्ता ले जाएँ	Play a card to foundation.
चाल ट्रैक करें	No moves.
इक्का मिटाएँ	Remove the aces
दुक्की मिटाएँ	Remove the twos
तिक्की मिटाएँ	Remove the threes
चव्वा मिटाएँ	Remove the fours
पंजा मिटाएँ	Remove the fives
छक्का मिटाएँ	Remove the sixes
सत्ता मिटाएँ	Remove the sevens
अट्ठा मिटाएँ	Remove the eights
नहला मिटाएँ	Remove the nines
दहला मिटाएँ	Remove the tens
जोकर मिटाएँ	Remove the jacks
बेगम मिटाएँ	Remove the queens
बादशाह मिटाएँ	Remove the kings
मैं सुनिश्चित नहीं हूं	I 'm not sure
ताश के पत्तों को ढेर में वापस करें	Return cards to stock
किसी वस्तु को तस्वीर के खाली खाँचे में ले जाएँ	Move something onto an empty tableau slot.
~ a को पट्ट से बाहर ले जाएँ	Move ~ a off the board
खाली खाँचा में कुछ ले जाने के बारे में विचार करें	Consider moving something into an empty slot
स्टाक में से पत्ता निकालें	Deal a card from stock
कोई चाल संभव नहीं. वापस लें या फिर शुरू करें	No moves are possible. Undo or start again.
खेल के पास कोई हल नहीं है. वापस ले या फिर शुरू करें. 	The game has no solution. Undo or start again.
फिर बांटने के लिये किसी कार्ड को दो बार क्लिक करें	Double click any card to redeal.
कोई संकेत उपलब्ध नहीं है	No hint available.
पंक्ति ~ a के सबसे बायें के स्लॉट में दो को रखें. 	Place a two in the leftmost slot of row ~ a.
पंक्ति ~ a में श्रृंखला में जोड़ें. 	Add to the sequence in row ~ a.
रिडील पर बेतरतीब रूप से रखा गैप्स	Randomly Placed Gaps on Redeal
बायीँ डीलः ~ a	Deals left: ~ a
पूरी लाइन फेंटें	Deal a row
एक खाली फाउण्डेशन जगह	an empty foundation place
एक खाली चित्र जगह	an empty tableau place
ताश को उलटे खिसका कर देखें	Try moving a card to the reserve
ताशों को फेंट कर देखें	Try dealing a row of cards
पत्तों के ढेर को आसपास ले जाने की कोशिश करें	Try moving card piles around
एक जैसे पत्ते	Same suit
विविध रंग	Alternating colors
प्रथम आधार ढेर हेतु अतिरिक्त में से एक ताश का पत्ता चुनें	Select a card from the reserve for first foundation pile
अतिरिक्त में से एक ताश के पत्ते को खाली खाँचा पर ले जाएँ	Move a card from the reserve onto the empty tableau slot
बचा मालः ~ a	Stock left: ~ a
एक और पत्ता बाँटें	Deal another card
एक पत्ता या पत्तों के समूह खाली खाँचा पर ले जाएँ	Move a card or build of cards on to the empty slot
एक हाथ और बांटें	Deal another hand
